Title;Artist;Streams
As It Was;Harry Styles;8,016,811
Me Porto Bonito;Bad Bunny, Chencho Corleone;5,167,629
Ojitos Lindos;Bad Bunny, Bomba Estéreo;4,950,459
Tití Me Preguntó;Bad Bunny;4,177,813
Late Night Talking;Harry Styles;3,897,411
Moscow Mule;Bad Bunny;3,806,012
Party;Bad Bunny, Rauw Alejandro;3,391,555
PROVENZA;KAROL G;3,205,909
About Damn Time;Lizzo;3,200,954
Heat Waves;Glass Animals;3,154,663
First Class;Jack Harlow;3,045,121
Efecto;Bad Bunny;2,807,003
Running Up That Hill (A Deal With God);Kate Bush;2,791,741
Matilda;Harry Styles;2,623,156
STAY (with Justin Bieber);The Kid LAROI;2,572,369
Bam Bam (feat. Ed Sheeran);Camila Cabello;2,459,545
Music For a Sushi Restaurant;Harry Styles;2,444,994
Después de la Playa;Bad Bunny;2,442,391
Daylight;Harry Styles;2,359,261
Tarot;Bad Bunny, Jhay Cortez;2,312,795
Little Freak;Harry Styles;2,202,247
MIDDLE OF THE NIGHT;Elley Duhé;2,195,002
Cold Heart - PNAU Remix;Elton John, Dua Lipa;2,176,704
Un Ratito;Bad Bunny;2,046,165
True Love;Kanye West, XXXTENTACION;2,030,407
Una Noche en Medellín;Cris Mj;1,995,070
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;1,983,013
Ghost;Justin Bieber;1,946,868
Grapejuice;Harry Styles;1,942,401
MAMIII;Becky G, KAROL G;1,927,658
Potion (with Dua Lipa & Young Thug);Calvin Harris;1,899,610
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;1,892,241
Satellite;Harry Styles;1,885,904
Woman;Doja Cat;1,818,525
Love Of My Life;Harry Styles;1,778,517
Cinema;Harry Styles;1,759,958
Yo No Soy Celoso;Bad Bunny;1,758,436
Until I Found You;Stephen Sanchez;1,755,999
N95;Kendrick Lamar;1,742,307
Shivers;Ed Sheeran;1,729,394
Desesperados;Rauw Alejandro, Chencho Corleone;1,721,638
Daydreaming;Harry Styles;1,704,038
Keep Driving;Harry Styles;1,680,355
Neverita;Bad Bunny;1,656,774
Envolver;Anitta;1,642,772
WAIT FOR U (feat. Drake & Tems);Future;1,611,917
Me Fui de Vacaciones;Bad Bunny;1,608,646
good 4 u;Olivia Rodrigo;1,594,002
Jordan;Ryan Castro;1,579,642
La Corriente;Bad Bunny, Tony Dize;1,556,534
Where Are You Now;Lost Frequencies, Calum Scott;1,547,047
Watermelon Sugar;Harry Styles;1,506,864
ULTRA SOLO;Polimá Westcoast, Pailita;1,501,067
abcdefu;GAYLE;1,499,994
Cooped Up (with Roddy Ricch);Post Malone;1,497,389
Te Felicito;Shakira, Rauw Alejandro;1,491,391
Dandelions;Ruth B.;1,483,840
Andrea;Bad Bunny, Buscabulla;1,482,957
Bad Habits;Ed Sheeran;1,482,192
Another Love;Tom Odell;1,475,981
Aguacero;Bad Bunny;1,467,360
Easy On Me;Adele;1,446,225
Wait a Minute!;WILLOW;1,420,240
Blinding Lights;The Weeknd;1,417,475
Pepas;Farruko;1,409,928
Boyfriends;Harry Styles;1,404,337
ACORDA PEDRINHO;Jovem Dionisio;1,390,500
Sweater Weather;The Neighbourhood;1,385,066
THATS WHAT I WANT;Lil Nas X;1,383,231
Die Hard;Kendrick Lamar, Blxst, Amanda Reifer;1,363,510
The Motto;Tiësto, Ava Max;1,327,740
Un Coco;Bad Bunny;1,309,556
Otro Atardecer;Bad Bunny, The Marías;1,290,186
Fuera del mercado;Danny Ocean;1,280,117
traitor;Olivia Rodrigo;1,275,136
Dos Mil 16;Bad Bunny;1,267,052
House of Memories;Panic! At The Disco;1,233,967
My Universe;Coldplay, BTS;1,232,501
Levitating (feat. DaBaby);Dua Lipa;1,219,019
Light Switch;Charlie Puth;1,218,979
Boyfriend;Dove Cameron;1,198,731
Kiss Me More (feat. SZA);Doja Cat;1,190,612
Un Verano Sin Ti;Bad Bunny;1,189,099
drivers license;Olivia Rodrigo;1,186,811
Enséñame a Bailar;Bad Bunny;1,186,593
X ÚLTIMA VEZ;Daddy Yankee, Bad Bunny;1,184,276
I Love You So;The Walters;1,177,785
Callaita;Bad Bunny, Tainy;1,171,146
Infinity;Jaymes Young;1,143,647
La Llevo Al Cielo (Ft. Ñengo Flow);Chris Jedi, Anuel AA, Chencho Corleone;1,134,887
505;Arctic Monkeys;1,118,295
Don’t Blame Me;Taylor Swift;1,112,957
deja vu;Olivia Rodrigo;1,106,179
Angel Baby;Troye Sivan;1,103,881
Save Your Tears;The Weeknd;1,102,980
Yonaguni;Bad Bunny;1,094,517
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Tainy;1,062,915
Die Young (feat. 347aidan);Sleepy Hallow;1,060,189
El Apagón;Bad Bunny;1,056,445
she's all i wanna be;Tate McRae;1,039,375
Happier Than Ever;Billie Eilish;1,035,893
Thousand Miles;The Kid LAROI;1,031,991
Without Me;Eminem;1,023,408
Need to Know;Doja Cat;1,021,332
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track;The Weeknd;1,013,707
Sunroof;Nicky Youre, dazy;1,011,842
