Title;Artist;Streams
PATOPROHIBICJA (28.01.2022);Mata, FUNDACJA 420;425,797
BEDOESIARA;2115, Bedoes, White 2115, @atutowy, Abel de Jong;329,417
Jakie To Uczucie?;Oki;210,668
Złote Tarasy;Mr. Polska, Abel de Jong;207,165
Jeżyk!;Oki;182,348
Pijemy Za Lepszy Czas;Smolasty, 730 Huncho, Nearr;164,433
Midas;Sentino;163,065
Zosia;Białas;152,903
dres;Miszel, Kabe, Premixm;143,344
La Manga;Alberto, Josef Bratan;132,905
ostatnia nadzieja;sanah, Dawid Podsiadło;121,769
As It Was;Harry Styles;121,510
Zegarek ze Szwajcarii;Kinny Zimmer;120,850
Szary świat;sanah, Kwiat Jabłoni;118,107
Zatańczysz ze mną;Tribbs, Kubańczyk;110,673
Lawenda;SB Maffija, White 2115, Białas, Kinny Zimmer, Bedoes, Pedro, francis;102,741
ŚMIECI WYWÓZ;Tromba, Bomba KRK, Zeju POG;97,875
KOKAINA;DR. VODKA;94,528
Running Up That Hill (A Deal With God);Kate Bush;94,425
Trójkąt Bermudzki;Sentino, Nitro, MASNY BEN, mgng;93,572
WIĘCEJ DYMU;2115, Bedoes, White 2115, Kuqe 2115, flexxy2115;92,832
Jetlag (feat. The Plug);Malik Montana, DaChoyce, SRNO;85,469
Szafir;Mata, Trooh Hippi;83,716
BMW;Reto, Avi;82,944
Robotniczy Trap;Young Igi, Żabson;79,607
Lot;Kizo, Wac Toja, BeMelo;78,954
Proste fakty;SB Maffija, Bedoes, White 2115, Kuqe 2115, flexxy2115, BLACHA, Kubi Producent;77,601
Lato;Sentino;74,261
Eldorado;sanah, Daria Zawiałow;73,571
Pakuje Walize;Dawid, Artysta, Vłodarski, VHS, Zebraodzawsze, zawad;72,943
Duże Oczy;Smolasty, francis, Pedro, Tribbs;72,525
WWA Melanż;Otsochodzi, Oskar83;71,482
Kiss cam;Mata, Pedro, francis;69,927
Polski Karnawał;Young Igi, Żabson;69,893
California;White 2115;67,958
200 osób w kawalerce;Kinny Zimmer;63,896
Heat Waves;Glass Animals;62,423
(Po)ciąg dalszy nastąpi;Gibbs;60,875
Parapetówa;SB Maffija, White 2115, Lanek, Janusz Walczuk, Bedoes, Jan-Rapowanie, Kacperczyk, Białas, Adi Nowak, Fukaj, SKUTE BOBO, Beteo, Kinny Zimmer, Solar;60,670
Disney;Kizo;57,999
Szmata;Mata;57,156
SKUTE BOBO;SKUTE BOBO;57,044
Boję Się Kochać;Smolasty, Young Leosia;55,302
KOCIMIĘTKA;Dawid, Artysta, Vłodarski;55,028
Late Night Talking;Harry Styles;54,789
Narcyz;Chivas;53,627
Jadę nocą na Mazurach 2;Kinny Zimmer, Szpaku;53,494
